step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_size
0,-1.450895122650638,-3.1065391530299076,0.81,95,2.0387201572182962,3.1846074477486583,0.542089847618414,-2.6860358715057373,-0.16233119368553162,1.4607999324798584,-4.724755659920294,-1.450895122650638,1.6182165068903858,5.0
1,-1.6922889224752886,-3.215433884369359,0.06,56,3.15381214415249,4.60429072765472,0.661802791635887,-0.9678515791893005,-0.10721059143543243,0.5517549514770508,-4.121663702033129,-1.6922889224752886,0.9062298176637704,29.74136121495401
2,-2.5947473944353847,-3.6937180557464484,0.02,56,3.4829680652008803,5.11151351756455,0.7084878340880274,-1.0985876321792603,-0.1995285600423813,0.47906991839408875,-4.581555675773457,-2.5947473944353847,0.8878376200270082,45.34862818228629
3,-2.7543165258279374,-3.9107298913544346,0.02,81,3.5489730927009715,5.2178520494289256,0.7190431823463788,-1.2720242738723755,-0.0601167157292366,0.5331271290779114,-4.820997322763933,-2.7543165258279374,0.9102674314094986,49.23427670606418
4,-2.0250207579535875,-3.4778474796636942,0.03,56,3.358742620147049,4.902735483655026,0.6898861283640091,-0.9910619258880615,-0.317398339509964,0.45512571930885315,-4.3498046008713835,-2.0250207579535875,0.8719571212076892,38.784275560499225
5,-1.9232270884996587,-3.369095014014697,0.04,56,3.2851249171153314,4.7738979118804705,0.6795303006486251,-0.9408410787582397,-0.30004289746284485,0.4456616938114166,-4.225965944315553,-1.9232270884996587,0.8568709303008563,35.299710391533985
6,-2.623655659326129,-3.705934620272446,0.02,56,3.4862734012448096,5.116912651440741,0.7090044838591285,-1.1104671955108643,-0.1913873553276062,0.48260292410850525,-4.596740704193047,-2.623655659326129,0.8908060839206008,45.5362426454388
7,-1.8337511922544147,-2.729901563975932,0.27,56,2.7747791700321267,4.135326075500111,0.6169306879864624,-0.8543765544891357,-0.16999554634094238,0.7066728472709656,-3.629155745829923,-1.8337511922544147,0.899254181853991,17.606460625015632
8,-2.619569455477936,-3.7043456570318796,0.02,56,3.4857939423034043,5.116129941284837,0.7089294202531873,-1.1089946031570435,-0.19243764877319336,0.48217013478279114,-4.594788568259225,-2.619569455477936,0.8904429112273454,45.508983087051156
9,-1.7153042037337476,-2.6542596279916637,0.52,56,2.429084531089321,3.6390547227885413,0.5817405197890663,-1.6358991861343384,-0.15261372923851013,1.3835265636444092,-4.064983883222595,-1.7153042037337476,1.4107242552309314,10.240112204898741
10,-1.9471248646952108,-3.395092327214683,0.03,56,3.3202124730190468,4.8357138095144965,0.6844085954350713,-0.9460071325302124,-0.29843658208847046,0.44993990659713745,-4.266219679757042,-1.9471248646952108,0.8711273525423592,36.925684188310555
11,-1.7554731927065195,-2.6111626016616833,0.47,56,2.4864142403700384,3.726134738047788,0.5877288266679026,-1.4504082202911377,-0.10216052830219269,1.3026690483093262,-3.9368224025466487,-1.7554731927065195,1.3256598008849656,11.261668069191716
12,-1.9500204879912653,-2.642786833926116,0.44,63,2.5816615617845677,3.8672274617167983,0.5971393676547085,-1.2611969709396362,-0.13572916388511658,1.1274656057357788,-3.842858547923389,-1.9500204879912653,1.2000717139972732,13.130014475223868
13,-1.6413417675300312,-2.8170414434151607,0.15,56,2.9289527674704328,4.334035472446955,0.6340534878774228,-0.7080492377281189,-0.11943428218364716,0.49688753485679626,-3.6370019898503556,-1.6413417675300312,0.8199605464351948,21.932334709145458
14,-1.8041688665764282,-2.618117029417056,0.47,56,2.514262363204544,3.767636396836946,0.5904166469994117,-1.3940587043762207,-0.10377717018127441,1.255972981452942,-3.908321202734296,-1.8041688665764282,1.29020417331724,11.778770581177996
15,-1.2805870971184277,-3.3164507331825295,0.98,63,0.8170068860407685,1.4211969227815626,0.2451896150648748,-3.598487615585327,-0.6931471824645996,1.0163787603378296,-4.4154950243588305,-1.2805870971184277,1.0990442911763012,1.0012602645022803
