step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-1.3343797368462353,-3.190822512802016,0.89,75,1.8229590838550727,2.9523601393521863,0.5029664336995567,-2.9143764972686768,-0.1322704702615738,1.3746169805526733,-4.7373353577553425,-1.3343797368462353,1.546512844953327,1.0
1,-2.632941320804395,-3.5979671801046154,0.01,81,3.556882309557772,5.212165225368249,0.7145797096462586,-0.8299447894096375,-0.03055356629192829,0.46193116903305054,-4.386827087698406,-2.632941320804395,0.7888599075937905,14.180761813370568
2,-3.40867410810927,-4.326927131864459,0.01,64,3.893715878590777,5.771093646852693,0.7791407247495948,-1.3298861980438232,-0.007945188321173191,0.4931040108203888,-5.223602017756386,-3.40867410810927,0.8966748858919266,21.745508557740806
3,-3.4917255404379013,-4.439859064700214,0.01,64,3.958073576954781,5.876576144493121,0.792702404853523,-1.3969284296035767,-0.003418141510337591,0.5067421197891235,-5.355002133553504,-3.4917255404379013,0.9151430688532897,23.628858607531107
4,-3.3003358761749406,-4.152928679958263,0.01,36,3.7696196623374942,5.567310252596253,0.754118949641208,-1.2354674339294434,-0.015611521899700165,0.49216169118881226,-5.005087050594878,-3.3003358761749406,0.8521583706366148,18.563807031874624
5,-3.1047820267979516,-3.944472235987706,0.01,56,3.6943220579046594,5.442460771171347,0.7396178444000501,-1.0745490789413452,-0.014997324906289577,0.47631123661994934,-4.768871148608609,-3.1047820267979516,0.8243989126209028,16.874859628549636
6,-3.41262477003796,-4.333945752792525,0.01,64,3.896966070900871,5.776414363319484,0.7798162194983371,-1.3349658250808716,-0.0075693377293646336,0.49391603469848633,-5.231931758700138,-3.41262477003796,0.8979860059076125,21.836444139370847
7,-1.6830132343227349,-2.912451805720689,0.04,56,3.1429749002240435,4.564079505232397,0.651806650665766,-0.5076199173927307,-0.06252835690975189,0.45630407333374023,-3.650594815754129,-1.6830132343227349,0.7381430100334396,8.299049792737168
8,-3.4121598362734797,-4.332925368521749,0.01,64,3.8964947904976466,5.7756427689561525,0.7797181951095654,-1.3342201709747314,-0.007620567921549082,0.4938013553619385,-5.230714732250609,-3.4121598362734797,0.8977893637288611,21.82323159831561
9,-1.608367579999464,-2.4491041734945203,0.21,56,2.7415473972906184,4.072099894600542,0.6051267969945527,-0.7163280248641968,-0.055717650800943375,0.8595764636993408,-3.4578752884913992,-1.608367579999464,1.0087711149968792,4.728625813598879
10,-3.2270948081495128,-4.047299061791991,0.01,56,3.730376993779151,5.502352271631575,0.7464975555750013,-1.1539160013198853,-0.013895707204937935,0.48421797156333923,-4.88429315863928,-3.2270948081495128,0.8369940968472889,17.662959172905627
11,-1.5890079730225048,-2.4881385639239033,0.16,56,2.7951224149871723,4.1427095554737505,0.6107999373530864,-0.6451115608215332,-0.04938157647848129,0.7961557507514954,-3.4402339578900594,-1.5890079730225048,0.952095393966156,5.115711557040989
12,-1.661769903426641,-2.382423133879893,0.25,56,2.6600090897401585,3.9617284194009326,0.5967436572585988,-0.8392711877822876,-0.04309510067105293,1.0159012079238892,-3.4992803084051025,-1.661769903426641,1.1168571745252096,4.183785320193726
13,-1.7507762450371358,-2.4558817191076887,0.43,63,2.527249188152643,3.7753663493347713,0.583565444637203,-1.2570250034332275,-0.04877908527851105,1.2726359367370605,-3.784274070141407,-1.7507762450371358,1.3283923510337179,3.402120681232239
14,-1.682082747636617,-2.3717168974831275,0.26,56,2.6417203711821085,3.9365265475464826,0.594897935700306,-0.884479284286499,-0.04911546781659126,1.068744421005249,-3.5261996590076325,-1.682082747636617,1.154482761524505,4.068568626501632
15,-1.907518894628256,-3.1142705673671784,0.02,56,3.347638394501995,4.856179179986865,0.6805089874452819,-0.544667661190033,-0.06597400456666946,0.4529288411140442,-3.892306035053919,-1.907518894628256,0.7780354676867403,10.855625954773895
16,-1.6830446119347648,-2.370560792310517,0.26,56,2.6407587091039293,3.935196103286637,0.5948003788283246,-0.8864520192146301,-0.04961436986923218,1.0713263750076294,-3.527210870214867,-1.6830446119347648,1.1566500779043503,4.0625760800924295
17,-1.7089082138369784,-2.39153542722955,0.31,56,2.615479104912257,3.900088022184146,0.5922729763414946,-0.9689551591873169,-0.05395817011594772,1.1279963254928589,-3.5844342370167137,-1.7089082138369784,1.1928988097871636,3.9075858436190636
18,-1.6801207428463498,-2.373944418837198,0.26,56,2.643570068058011,3.939083265347709,0.5950845898198693,-0.8806166648864746,-0.048229869455099106,1.0636483430862427,-3.5241867477338884,-1.6801207428463498,1.1502423288966903,4.08010982466816
19,-1.681816542491495,-2.372002612679508,0.26,56,2.64196365548378,3.9368626677296086,0.5949220976178132,-0.883972704410553,-0.04899076744914055,1.0680872201919556,-3.52593638820654,-1.681816542491495,1.1539337755270318,4.070083987641246
20,-1.683308577441621,-2.370208393148604,0.26,56,2.6404647311133274,3.934790025998043,0.5947713448970396,-0.8870372772216797,-0.04977191239595413,1.0720922946929932,-3.5275019530889518,-1.683308577441621,1.1572935599403473,4.060748727426846
21,-1.588505920741311,-2.7133617026194883,0.08,56,2.9623434943559896,4.353354720823598,0.6294924531722391,-0.5365559458732605,-0.039141833782196045,0.5801274180412292,-3.4988994130346303,-1.588505920741311,0.7855377104151421,6.489327520234743
22,-1.6814821122913644,-2.372377761522837,0.26,56,2.642277417052406,3.9372970208538316,0.5949547501056303,-0.8833177089691162,-0.04883503541350365,1.067229986190796,-3.5255951585433065,-1.6814821122913644,1.1532173970204695,4.072043056515454
23,-1.6824461813911191,-2.3713051922740176,0.26,56,2.6413772081677225,3.936051808818555,0.5948629346805216,-0.88519287109375,-0.04929034039378166,1.0696771144866943,-3.5265700038988497,-1.6824461813911191,1.155264811624832,4.066429262519836
24,-1.6832987611850263,-2.3702203237083665,0.26,56,2.6404749338874427,3.9348039983404566,0.5947722119843013,-0.8870168924331665,-0.0497668981552124,1.0720657110214233,-3.52749194709452,-1.6832987611850263,1.1572716233861537,4.060811728618093
