step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-1.15039378209932,-2.7686830934784075,0.656,604,2.309223393654489,4.095235541058448,0.58796993295985,-2.360001564025879,-0.00020231862436048687,1.8249298334121704,-4.669224872305664,-1.15039378209932,1.9005417788272567,2.0
1,-2.1873686816039686,-3.837986051304842,0.007,810,3.7846106842261364,5.59858139357229,0.6681114058859491,-0.7503732442855835,-0.002419654978439212,0.20268116891384125,-4.534983898580176,-2.1873686816039686,0.696997847275334,17.8034725681866
2,-2.49422253434342,-4.167601602981071,0.004,625,4.098700690103748,6.201584138907116,0.6957366361501097,-0.7841376066207886,-0.007953358814120293,0.17062075436115265,-4.882838303731809,-2.49422253434342,0.7152367007507385,27.19968431382542
3,-2.4738113556434334,-4.170430101797701,0.003,625,4.157774834044984,6.311730883849705,0.7021611001589828,-0.7319512367248535,-0.029126642271876335,0.15978381037712097,-4.889726051411368,-2.4738113556434334,0.7192959496136672,29.53900332303864
4,-2.369246521448285,-4.017446877998298,0.004,625,3.983999545659404,5.982842327261889,0.6844421000331175,-0.7360423803329468,-0.0013976322952657938,0.17565765976905823,-4.720041881694225,-2.369246521448285,0.7025950036959272,23.247676102749534
5,-2.363753597223864,-3.988134659016944,0.005,625,3.9137899475643003,5.847347769461636,0.6782414929893321,-0.7728200554847717,-0.0010260837152600288,0.18446402251720428,-4.686610001166868,-2.363753597223864,0.6984753421499241,21.149825643882707
6,-2.4952999918411356,-4.169572114733185,0.004,625,4.10168994838087,6.207208436568188,0.6960513343980039,-0.7833792567253113,-0.008432677015662193,0.17028136551380157,-4.885069241573049,-2.4952999918411356,0.7154971268398644,27.31263587837642
7,-1.5985378660806544,-3.2656861338515357,0.019,914,3.388622937341437,5.000830686393929,0.6445971155525428,-0.5850449800491333,-2.968355329358019e-05,0.277988463640213,-3.973667891704144,-1.5985378660806544,0.7079817578526084,10.497767110978799
8,-2.495170715708645,-4.169311608198762,0.004,625,4.101256526996857,6.206393303823619,0.696005651229263,-0.7835140228271484,-0.008367640897631645,0.17033420503139496,-4.884770547575794,-2.495170715708645,0.7154589393770323,27.296224511592023
9,-0.9983214971005172,-2.612825500971321,0.1,914,2.997630456231758,4.844405238124511,0.627771754719025,-0.6025109887123108,-3.576279254957626e-07,0.7885434627532959,-3.6001414384963244,-0.9983214971005172,0.9873159375250036,6.062924694785977
10,-2.362656923211744,-3.9971136733932062,0.005,625,3.9474641448710717,5.912396729368341,0.6811515699040347,-0.7496340870857239,-0.001145541900768876,0.17941348254680634,-4.697098222079421,-2.362656923211744,0.699984548686215,22.12872823581962
11,-0.9457338991532571,-2.501699881600459,0.136,914,2.9240718015305815,4.800718345937113,0.6247420586316674,-0.6714552044868469,0.0,0.9260448217391968,-3.5955269650105763,-0.9457338991532571,1.0938270834101171,5.438066308095264
12,-1.1474824550334897,-2.3606095212953084,0.224,914,2.792428143310393,4.706326135239492,0.6189961668832527,-0.8895312547683716,0.0,1.2084643840789795,-3.6819593509036785,-1.1474824550334897,1.32134982960837,4.4518382080409005
13,-1.4383167664769216,-2.3327128997674995,0.268,528,2.7465222876316866,4.6674968652696975,0.6168279186271832,-0.9973689913749695,-1.1920930376163597e-07,1.310903549194336,-3.7438913503166407,-1.4383167664769216,1.4111784505491414,4.144499632535467
14,-1.4021433654557722,-2.323530969433124,0.309,765,2.702468577294054,4.626916148746217,0.6146425039776512,-1.1125214099884033,-1.9073504518019035e-06,1.3986361026763916,-3.8149899765685005,-1.4021433654557722,1.4914590071353768,3.8661117740143913
15,-1.3737491952971848,-2.33174503772819,0.335,765,2.6715056127112646,4.596312246799058,0.6130370320813264,-1.203230619430542,-7.152560215217818e-07,1.4591847658157349,-3.8747362385982904,-1.3737491952971848,1.5429912008701006,3.6797717325426667
