step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-1.380919350435924,-2.3493089488774404,0.479,766,2.3164028975574293,4.29195900695859,0.6012532765875872,-1.2227531671524048,-0.10447626560926437,1.0150728225708008,-3.5391560818387187,-1.380919350435924,1.1898471329612785,2.0
1,-2.5794577589470995,-4.055556592525557,0.006,611,3.7763140871410967,5.59858139357229,0.6726918854895482,-0.9788122773170471,-0.1716546267271042,0.17959755659103394,-4.755126345414461,-2.5794577589470995,0.6995697528889042,17.8034725681866
2,-2.8916573650090083,-4.599488085284542,0.005,592,4.086550987546645,6.201584138907116,0.700152155938369,-1.216825246810913,-0.546881377696991,0.15054312348365784,-5.303376118664943,-2.8916573650090083,0.7038880333804008,27.19968431382542
3,-3.067843464762371,-4.8039473344550965,0.004,46,4.144937258737413,6.311730883849705,0.7065993125180199,-1.3652024269104004,-0.6621242165565491,0.15594248473644257,-5.510139595942824,-3.067843464762371,0.7061922614877273,29.53900332303864
4,-2.6700643090955323,-4.334462609293232,0.005,592,3.973234904697498,5.982842327261889,0.6888409307709339,-1.0596420764923096,-0.3506186902523041,0.15576419234275818,-5.032877035877069,-2.6700643090955323,0.6984144265838375,23.247676102749534
5,-2.619085709536181,-4.252147687279352,0.006,592,3.9038861511340257,5.847347769461636,0.6826689378676383,-1.0450853109359741,-0.28879889845848083,0.16587086021900177,-4.94897147631551,-2.619085709536181,0.6968237890361573,21.149825643882707
6,-2.8999305336425882,-4.6089267954295225,0.005,592,4.089504924462317,6.207208436568188,0.7004677861966251,-1.2234731912612915,-0.5528719425201416,0.15068478882312775,-5.3129779292802795,-2.8999305336425882,0.7040511338507569,27.31263587837642
7,-1.992021767535117,-3.410213518737663,0.012,611,3.3853402789304057,5.0503167466573995,0.6504346605913862,-0.7079070806503296,-0.1007833331823349,0.2084539830684662,-4.093247359848956,-1.992021767535117,0.6830338411112926,10.497767110978799
8,-2.8987170490216334,-4.607547093094211,0.005,592,4.089076612974135,6.206393303823619,0.7004219706815775,-1.222497820854187,-0.5520148873329163,0.15066155791282654,-5.311574391687838,-2.8987170490216334,0.7040272985936273,27.296224511592023
9,-1.3507031933265925,-2.939299742459232,0.043,867,2.998733758530626,4.844405238124511,0.6359120000174475,-0.6154372692108154,-0.06292156875133514,0.24439965188503265,-3.614171054399619,-1.3507031933265925,0.6748713119403871,6.062924694785977
10,-2.6414419731270575,-4.290069424294768,0.005,592,3.937146261845975,5.912396729368341,0.685560986723285,-1.0503430366516113,-0.32134339213371277,0.16026577353477478,-4.987489340727477,-2.6414419731270575,0.6974199164327094,22.12872823581962
11,-1.1295051785325232,-2.4405454339570545,0.726,609,2.033486938939694,3.9796099674978493,0.5697295732333953,-1.8171613216400146,-0.09729599207639694,1.2992966175079346,-3.850648244419399,-1.1295051785325232,1.4101028104623448,1.211582889284985
12,-1.1585160018108254,-2.7594211781609665,0.927,359,1.413093883751217,2.8901195870863376,0.4298001797523888,-2.7465298175811768,-0.21818652749061584,1.3313593864440918,-4.159623516364279,-1.1585160018108254,1.4002023382033124,0.5
13,-1.3740996432444863,-2.3672387236621093,0.544,609,2.2608319678174364,4.241271659951514,0.5962672403616895,-1.3518480062484741,-0.12396737188100815,1.087407112121582,-3.6126799997927654,-1.3740996432444863,1.2454412761306561,1.812340948930422
14,-1.2751617264879156,-2.5552894649369264,0.195,168,2.641502395938549,4.560064168459835,0.6221744541520118,-0.7232866287231445,-0.0505724772810936,0.5566491484642029,-3.364789028275225,-1.2751617264879156,0.8094995633382983,3.480898025379653
15,-1.2702686970949126,-2.3429178619477096,0.432,168,2.380884266055504,4.345062926393626,0.6064393797608301,-1.0767468214035034,-0.058826714754104614,0.9250622987747192,-3.4576311658689174,-1.2702686970949126,1.114713303921208,2.2398770848769107
16,-1.2878384010049522,-2.3413715971470848,0.445,168,2.366864555321735,4.334008153415453,0.6053633329528901,-1.106809377670288,-0.06706526130437851,0.944227397441864,-3.473673865802687,-1.2878384010049522,1.1323022686556024,2.185636635070959
17,-1.234249287379101,-2.360542776845006,0.382,168,2.434707232662618,4.385137440998796,0.6103189969564558,-0.9734012484550476,-0.04454273357987404,0.8498982787132263,-3.4081084350619015,-1.234249287379101,1.0475656582168955,2.459242968268774
18,-2.1929958294530936,-3.616889260006703,0.009,611,3.5822284429849898,5.23009854520714,0.6603126082167303,-0.7212563753128052,-0.08000770211219788,0.17354312539100647,-4.303484803135864,-2.1929958294530936,0.6865955431291607,13.715376469437803
19,-1.2880675923397773,-2.3413218593534735,0.445,168,2.3667081039249704,4.333882985297495,0.6053503881417733,-1.107113242149353,-0.06718254834413528,0.9444567561149597,-3.4738213050737787,-1.2880675923397773,1.132499445720305,2.185036545788458
20,-1.2880213460273922,-2.3413309992277798,0.445,168,2.3667388434561234,4.333907800061891,0.60535343202182,-1.1070524454116821,-0.06715870648622513,0.9444110989570618,-3.473791409060572,-1.2880213460273922,1.1324604098327924,2.185155474979487
21,-1.6085670074568987,-3.2809755854339233,0.023,867,3.1962430504156036,4.938018089499268,0.6428075196089948,-0.7553632855415344,-0.2696351706981659,0.1988077163696289,-3.9516063549710196,-1.6085670074568987,0.6706307695370963,8.067733055525188
22,-1.2879335344719145,-2.341350539928362,0.445,168,2.366799566563731,4.333956194807723,0.6053580248589057,-1.1069352626800537,-0.06711345165967941,0.944322943687439,-3.473734905105596,-1.2879335344719145,1.132384365177234,2.185387517598554
23,-1.2879217338248463,-2.3413533835893885,0.445,168,2.3668075086991864,4.333962542247608,0.6053585688678652,-1.1069200038909912,-0.06710784137248993,0.9443110823631287,-3.473727540373393,-1.2879217338248463,1.1323741567840044,2.1854179146896007
24,-1.2879131411586127,-2.341355149900312,0.445,168,2.366814135637585,4.3339678621071,0.605359263958056,-1.1069072484970093,-0.0671030580997467,0.944301426410675,-3.473721384276155,-1.2879131411586127,1.1323662343758434,2.18544338009352
