step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_size
0,-1.513170553732904,-3.034354558839147,0.79,95,2.112917495855985,3.254221833108032,0.5502403872895317,-2.5303239822387695,-0.11265567690134048,1.474239468574524,-4.643241345548926,-1.513170553732904,1.6088867867097794,5.0
1,-1.7917970273423636,-3.212733670935404,0.03,56,3.2668831784257724,4.742352441749115,0.6754505114664392,-0.7589748501777649,-0.11963184177875519,0.4446144700050354,-4.025858022494061,-1.7917970273423636,0.8131243515586568,29.74136121495401
2,-2.2552302367370487,-3.5936634069723437,0.03,56,3.6019175725425554,5.295486661321321,0.7263283144129051,-0.8349285125732422,-0.012867750599980354,0.45371201634407043,-4.436846091541923,-2.2552302367370487,0.8431826845695798,45.34862818228629
3,-2.494573395801635,-3.643115232269126,0.03,56,3.668487509900107,5.398758684553191,0.7378640081250073,-0.821714460849762,-0.004628744907677174,0.45360925793647766,-4.4902019108937665,-2.494573395801635,0.8470866786246404,49.23427670606418
4,-2.0303149507416776,-3.4792041224539503,0.02,56,3.476018357340862,5.096014611521983,0.7060149894528904,-0.8272178173065186,-0.1538495421409607,0.4358333945274353,-4.3032360864325065,-2.0303149507416776,0.8240319639785564,38.784275560499225
5,-1.91407615311814,-3.390031046303279,0.03,56,3.4011849804969922,4.973203692838985,0.694721684015469,-0.8132174015045166,-0.11442698538303375,0.4419654309749603,-4.2144023444505825,-1.91407615311814,0.8243712981473035,35.299710391533985
6,-2.2634650152997327,-3.5977529291226458,0.03,56,3.605264299094783,5.300704539675628,0.7268902923364701,-0.83664870262146,-0.012056860141456127,0.45399728417396545,-4.441912880746755,-2.2634650152997327,0.8441599516241093,45.5362426454388
7,-1.6608606673245747,-2.7787736559736085,0.23,56,2.877076247251759,4.26526621010467,0.6270588629594724,-0.7506272196769714,-0.12927712500095367,0.6164144277572632,-3.627703491515646,-1.6608606673245747,0.8489298355420373,17.606460625015632
8,-2.262263055699095,-3.5971011736885963,0.03,56,3.604778984434941,5.299947978473494,0.7268086532372837,-0.8363129496574402,-0.012170162051916122,0.4539453089237213,-4.441091834217349,-2.262263055699095,0.8439906605287523,45.508983087051156
9,-1.794779920046716,-2.6166926712294267,0.52,56,2.517588694682683,3.772673974568395,0.5900050511525186,-1.4713844060897827,-0.09170748293399811,1.3308026790618896,-3.9889730712681652,-1.794779920046716,1.3722804000387385,10.240112204898741
10,-1.9581831330228774,-3.4084173360173704,0.02,56,3.4368456037921686,5.0323541702410095,0.7000796147695277,-0.7923358678817749,-0.11587297171354294,0.43410083651542664,-4.229181476963856,-1.9581831330228774,0.8207641409464851,36.925684188310555
11,-1.906218726247884,-2.660238283219403,0.46,56,2.5731393520212826,3.8551602721816285,0.5958831732672398,-1.354349970817566,-0.10346942394971848,1.2245935201644897,-3.927489509773915,-1.906218726247884,1.2672512265545122,11.189956780770721
12,-1.7325714234760579,-2.5909589521311718,0.53,56,2.458455720201453,3.6849621040193843,0.5844876110701818,-1.5934784412384033,-0.08397652208805084,1.4304900169372559,-4.051933864757736,-1.7325714234760579,1.4609749126265639,9.293294700397963
13,-1.6563554676562044,-2.8584622963327324,0.09,56,3.044149175738736,4.468659563550751,0.6466006139606919,-0.6256235837936401,-0.0966038629412651,0.4860692620277405,-3.669772765269323,-1.6563554676562044,0.8113104689365908,22.1601792624144
14,-1.7184698607124382,-2.573107833878506,0.52,56,2.4294417766261747,3.6422887523407415,0.5819429663791726,-1.6551406383514404,-0.10378973931074142,1.471806287765503,-4.084582362003987,-1.7184698607124382,1.5114745281254809,8.849063607083146
15,-1.708669372412105,-2.637500817059272,0.55,56,2.390914309018106,3.5832768109618094,0.5777532711513544,-1.7838743925094604,-0.1553138941526413,1.487101435661316,-4.174788538210841,-1.708669372412105,1.537287721151569,8.26448319561204
16,-1.735602387902092,-2.585758826571756,0.52,56,2.4657637925852294,3.6956873304642346,0.5851104765199892,-1.5731532573699951,-0.08399350196123123,1.422682523727417,-4.038916853185391,-1.735602387902092,1.4531580266136348,9.406868998640729
17,-1.7341343003050367,-2.5832113960402148,0.52,56,2.4615573662012027,3.6895100870381237,0.5847503467561834,-1.580971360206604,-0.0842118039727211,1.4292012453079224,-4.042528644525926,-1.7341343003050367,1.459317248485711,9.341384192297483
18,-1.7706671423314506,-2.678547520721451,0.36,56,2.74063413586405,4.0893731946146605,0.6124541521556609,-0.9188076853752136,-0.12160011380910873,0.8282042741775513,-3.659441637880475,-1.7706671423314506,0.9808941171590239,14.462515806016013
19,-1.3555350259207322,-3.402343856565575,0.98,63,0.9227922206594408,1.5979799411456477,0.27547693799671197,-3.5944464206695557,-0.6931472420692444,1.0177209377288818,-4.517238532848543,-1.3555350259207322,1.114894676282968,1.0
20,-1.7321308866803158,-2.5882274360816275,0.52,56,2.4577029648679987,3.683859031624723,0.584423972571486,-1.5918893814086914,-0.0839533731341362,1.4334795475006104,-4.049592375110437,-1.7321308866803158,1.461364939028809,9.281648002474126
21,-1.7092425443695654,-2.9790517943947195,0.05,56,3.143597459736314,4.585591699134301,0.6591407009822094,-0.6682554483413696,-0.12081092596054077,0.5100080370903015,-3.8118530271379623,-1.7092425443695654,0.8328012327432427,25.31673527419064
22,-1.732024887867859,-2.5881241973698748,0.52,56,2.457539505713372,3.683619466489441,0.5844101674694652,-1.5922001600265503,-0.08395065367221832,1.4337354898452759,-4.049739733093171,-1.732024887867859,1.461615535723296,9.279119964353256
23,-1.7316192060957454,-2.5877797180313697,0.52,56,2.456996335183111,3.6828239206197604,0.584364429624338,-1.5932412147521973,-0.08392991125583649,1.4345932006835938,-4.050237715189186,-1.7316192060957454,1.4624579971578162,9.270725692880376
24,-1.7312343076514887,-2.5874908721084244,0.52,56,2.456486627227317,3.682077250950503,0.5843213595814356,-1.594241976737976,-0.08393438160419464,1.4353902339935303,-4.050728704250108,-1.7312343076514887,1.463237832141684,9.262850826955445
