step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-0.942140120312651,-3.4010414690255644,0.847,282,1.8818391834798287,3.6481918328465173,0.5404904642637761,-3.239616632461548,-0.00080725341103971,1.6312611103057861,-5.121455812246705,-0.942140120312651,1.7204143432211405,1.0
1,-1.8993908846517908,-3.354929049495675,0.011,625,3.4324412683341063,5.038514132500989,0.6721536612324869,-0.6236082911491394,-0.00351760839112103,0.2066076546907425,-4.056049599723367,-1.8993908846517908,0.7011205502276919,14.180761813370568
2,-2.41459603018736,-3.883486300193343,0.006,810,3.7134296885725457,5.531645291955813,0.693836228364457,-0.8872804045677185,-0.007495649624615908,0.19048088788986206,-4.600710080754139,-2.41459603018736,0.7172237805607956,21.745508557740806
3,-2.49137958627317,-3.9635940519432946,0.005,625,3.7674167833034327,5.6186799076139575,0.698689859808361,-0.9163057208061218,-0.014722185209393501,0.18528634309768677,-4.683722497841753,-2.49137958627317,0.7201284458984586,23.628858607531107
4,-2.119692219452101,-3.6125642835974987,0.007,810,3.609747493663447,5.3584079301053835,0.6852124887129591,-0.7075715065002441,-0.0027925583999603987,0.1849137246608734,-4.317319041068078,-2.119692219452101,0.7047547574705795,18.563807031874624
5,-2.0298519967282065,-3.501839114339691,0.01,625,3.5469337289809966,5.248494711771761,0.6803831264512532,-0.6567177176475525,-0.003504927735775709,0.18873967230319977,-4.203651444537265,-2.0298519967282065,0.7018123301975735,16.874859628549636
6,-2.4259765329691825,-3.8918910861711673,0.006,625,3.716145298973734,5.5360717310472785,0.6940745359324964,-0.8932578563690186,-0.007129513192921877,0.19094279408454895,-4.609403153130395,-2.4259765329691825,0.7175120669592276,21.836444139370847
7,-1.156200676662567,-2.8351581162224386,0.041,914,3.0857124180097397,4.9251000047416476,0.6504279177947531,-0.5374644994735718,-4.768372718899627e-07,0.44606006145477295,-3.623176830429928,-1.156200676662567,0.788018714207489,8.299049792737168
8,-2.424771320153636,-3.890648261287815,0.006,625,3.7157515124627154,5.535430161589507,0.694039945318593,-0.892363965511322,-0.007180781103670597,0.19087380170822144,-4.60811545647073,-2.424771320153636,0.7174671951829151,21.82323159831561
9,-1.0133615700056802,-2.3040058896485065,0.194,914,2.741455802108014,4.713140492879234,0.6309098604750291,-0.8241842985153198,0.0,1.1352243423461914,-3.565640103187814,-1.0133615700056802,1.2616342135393075,4.728625813598879
10,-2.078890373908708,-3.5482737821365182,0.009,625,3.577017803765838,5.301641867888618,0.6826631730213254,-0.6731330752372742,-0.0031738525722175837,0.18568949401378632,-4.250150906282714,-2.078890373908708,0.7018771241461963,17.662959172905627
11,-0.9203347528024328,-2.343607565073559,0.166,914,2.7816280805535616,4.745619550607677,0.6332772670438731,-0.7445602416992188,0.0,1.03605318069458,-3.5261883353225394,-0.9203347528024328,1.1825807702489806,5.060615649755877
12,-1.1485592518355965,-2.2602507904940303,0.256,914,2.6819777660330097,4.660077379954043,0.6272871054410839,-0.9617247581481934,0.0,1.2741658687591553,-3.6437024929362316,-1.1485592518355965,1.3834517024422015,4.271855067648398
13,-1.3089129077125867,-2.254190789014188,0.329,765,2.611081408091577,4.5880440402496765,0.622703803019298,-1.1769487857818604,-3.576279254957626e-07,1.4384161233901978,-3.788030045366496,-1.3089129077125867,1.5338392563523078,3.777324638793905
14,-1.3384677649252696,-2.253893669444038,0.302,765,2.641333557437003,4.6200103698769635,0.6246959095405297,-1.0815808773040771,-7.152560215217818e-07,1.367815613746643,-3.7229144922593953,-1.3384677649252696,1.4690208228153572,3.981885028492804
15,-1.5609175377989162,-3.113171575980367,0.017,914,3.261609459415549,4.987879587914482,0.6609526034845437,-0.5651570558547974,-5.245222382654902e-06,0.25415199995040894,-3.826766475918373,-1.5609175377989162,0.7135948999380057,10.91823480635256
16,-1.3376637299451755,-2.2561607851265375,0.304,765,2.6405387559955327,4.619193824335078,0.6246439685860985,-1.0852609872817993,-7.152560215217818e-07,1.369418978691101,-3.7257996550366106,-1.3376637299451755,1.469638869910073,3.9763804456829797
17,-1.335371407999716,-2.254855977339293,0.305,765,2.638231048083697,4.616815746253402,0.6244928854860148,-1.091545581817627,-7.152560215217818e-07,1.375083565711975,-3.729776608420931,-1.335371407999716,1.4749206310816383,3.9604357814106517
18,-1.2805392600288121,-2.2604725262698,0.356,765,2.5798320453124743,4.55300311126292,0.6205805504246064,-1.2787151336669922,-3.576279254957626e-07,1.5126937627792358,-3.8585470750721096,-1.2805392600288121,1.5980745488023091,3.575640478418735
19,-1.3184134808298582,-2.257669850583208,0.322,765,2.620887051310715,4.5986241297843655,0.623362131249261,-1.1473236083984375,-4.768372718899627e-07,1.4151531457901,-3.768210679058087,-1.3184134808298582,1.5105408284748791,3.8427824428232413
20,-1.2364121440501454,-2.2836398301122207,0.406,765,2.5243417916249147,4.485436763135722,0.6166120898850795,-1.4504990577697754,-3.576279254957626e-07,1.6163040399551392,-3.9748407372924883,-1.2364121440501454,1.6912009071802676,3.2401154865091466
21,-1.323102148406775,-2.2533145899066054,0.315,765,2.6255906789320944,4.603628793972324,0.6236761007207456,-1.1297764778137207,-4.768372718899627e-07,1.4049029350280762,-3.7553671596400604,-1.323102148406775,1.502052569733455,3.874540428566506
22,-1.322603873310302,-2.25348366814071,0.316,765,2.6250780855159066,4.603085578003952,0.6236419469558934,-1.131426215171814,-4.768372718899627e-07,1.4060732126235962,-3.7565043363169623,-1.322603873310302,1.5030206681762521,3.8710680112680826
23,-1.322335785487721,-2.2533123053771478,0.316,765,2.6248034759085748,4.602794348569994,0.6236236339167336,-1.1321499347686768,-4.768372718899627e-07,1.4067473411560059,-3.756953332409848,-1.322335785487721,1.5036410270327,3.8692089182936757
24,-1.3219796870565075,-2.253083225049194,0.316,765,2.6244379374312046,4.602406435525479,0.6235992497386823,-1.1331101655960083,-4.768372718899627e-07,1.4076443910598755,-3.7575479834894723,-1.3219796870565075,1.5044647584402782,3.866735434446158
