step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-1.1319895204297379,-2.529226385122885,0.794,614,1.8880411088434625,3.8036089474729144,0.5506220215154896,-2.076129674911499,-0.04947037622332573,1.3563756942749023,-3.9641706780051464,-1.1319895204297379,1.4349442928822616,1.0
1,-2.2018948560771134,-3.596233070242215,0.013,616,3.4232257081697446,5.106737778078681,0.6804589418605766,-0.8592239022254944,-0.2349534034729004,0.1634068340063095,-4.28244959373574,-2.2018948560771134,0.6862165234935255,14.180761813370568
2,-2.8581050064070808,-4.260866648944755,0.01,616,3.702577528580453,5.531645291955813,0.7007485683550717,-1.2641639709472656,-0.49591219425201416,0.18797604739665985,-4.966741461023118,-2.8581050064070808,0.7058748120783631,21.745508557740806
3,-2.9011444376003235,-4.355766348341923,0.01,52,3.7563430688839072,5.6186799076139575,0.705401271215794,-1.3061383962631226,-0.5149544477462769,0.18469558656215668,-5.062481460676682,-2.9011444376003235,0.7067151123347581,23.628858607531107
4,-2.535464297852781,-3.980310017506449,0.008,616,3.599419597291024,5.3584079301053835,0.6925843592489369,-1.0754426717758179,-0.37453895807266235,0.17121346294879913,-4.6748622348835775,-2.535464297852781,0.6945522173771286,18.563807031874624
5,-2.3890383969971247,-3.8256346374560075,0.01,616,3.536970866231069,5.248494711771761,0.688068395521992,-0.9799478650093079,-0.33539751172065735,0.16243430972099304,-4.516918776212081,-2.3890383969971247,0.6912841387560733,16.874859628549636
6,-2.866693280896759,-4.266020268536305,0.01,616,3.705281077488401,5.5360717310472785,0.7009761922901766,-1.2666476964950562,-0.5001633167266846,0.1873691976070404,-4.97192881457422,-2.866693280896759,0.7059085460379149,21.836444139370847
7,-1.5883597708025006,-3.117881777152544,0.025,873,3.0793811161437143,4.9251000047416476,0.6607545013728092,-0.7184392213821411,-0.1912035495042801,0.1868123561143875,-3.7978203651079045,-1.5883597708025006,0.6799385879553603,8.299049792737168
8,-2.8654576086329944,-4.265306379130772,0.01,616,3.7048890362416977,5.535430161589507,0.7009431517783699,-1.266321063041687,-0.4995504915714264,0.18746384978294373,-4.971210087988305,-2.8654576086329944,0.7059037088575324,21.82323159831561
9,-1.2277785358479272,-2.636028777855349,0.092,873,2.7387599244806817,4.713140492879234,0.6430692031095951,-0.6140164732933044,-0.022400133311748505,0.36236557364463806,-3.3527764007840206,-1.2277785358479272,0.7167476229286714,4.728625813598879
10,-2.4557842764471953,-3.89749719026847,0.008,616,3.5668768116340717,5.301641867888618,0.6901948180082261,-1.0228850841522217,-0.35906660556793213,0.16500528156757355,-4.589761973391541,-2.4557842764471953,0.692264783123071,17.662959172905627
11,-1.1290188144830715,-2.3551515100878984,0.543,412,2.26191850513925,4.2805122439836785,0.6058470957803177,-1.3142809867858887,-0.07591811567544937,1.0754249095916748,-3.576199530325431,-1.1290188144830715,1.221048020237533,1.9906529858456377
12,-1.137024098741359,-2.3487649332575975,0.399,873,2.397796912802297,4.393947265274531,0.6193252551862997,-1.0104976892471313,-0.05063429847359657,0.8646150827407837,-3.4082946840095403,-1.137024098741359,1.059529750751943,2.5695295336662105
13,-1.1359550434321024,-2.3312801531562153,0.448,873,2.348332970107017,4.355750235023037,0.6147545732507799,-1.1105831861495972,-0.05152152478694916,0.9486183524131775,-3.45891614388865,-1.1359550434321024,1.127635990732435,2.3429965898474245
14,-1.138760636402186,-2.3732167370048662,0.355,873,2.433504019225196,4.419565425016198,0.6224028636830023,-0.9471977353096008,-0.06224242225289345,0.7990514039993286,-3.3807017419693928,-1.138760636402186,1.0074850049645268,2.7450340252495904
15,-1.155954466293092,-2.3380291322121156,0.491,412,2.31809671702167,4.330703879705462,0.6117655601580878,-1.1824102401733398,-0.055677950382232666,0.9944883584976196,-3.500506915292945,-1.155954466293092,1.1624777830808297,2.213471368422769
16,-1.1690421261369637,-2.3308590653186347,0.457,412,2.3406017116218973,4.34947117274564,0.614002677843351,-1.1271308660507202,-0.0522317998111248,0.9612101912498474,-3.467732577214407,-1.1690421261369637,1.1368735118957725,2.3092122550555567
