step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_mean,dim_var
0,-5.682619135222441,-6.106863422300765,0.42,35,6.1575309966065515,6.64098017884252,0.2905561308973677,-1.2419482469558716,-0.06449109315872192,1.2716660499572754,-7.399479182542168,-5.682619135222441,1.292615760241404,0.0,0.05
1,-6.1930636992883334,-6.724649133187559,0.26,35,6.892376443537116,7.435591127263718,0.3065552807717158,-0.7960588932037354,-0.024365969002246857,0.9136574268341064,-7.68843523612076,-6.1930636992883334,0.9637861029332013,0.043279196070959314,0.09145666400828095
2,-5.153564020696661,-6.6072710900042235,0.22,6,6.896141666186369,7.678896495024654,0.6044821922368401,-0.7554795145988464,-0.008911622688174248,0.915251612663269,-7.651621229865915,-5.153564020696661,1.0443501398616917,0.24218649700065487,0.07939968980499858
3,-5.9432232145503034,-6.754048234131244,0.24,6,6.94288264864122,7.528387636558511,0.36370628686423645,-0.7658447027206421,-0.01570221781730652,0.8894237279891968,-7.708727500224462,-5.9432232145503034,0.9546792660932182,0.09999704481157129,0.09180126200182637
4,-5.988101471012609,-6.610264531753003,0.22,92,6.780722974142907,7.395787713286232,0.38684480039441005,-0.7924310564994812,-0.047947559505701065,0.8745938539505005,-7.5731540084769104,-5.988101471012609,0.9628894767239071,-0.08054632015290172,0.091751193425196
5,-5.046773421388286,-6.3003465396345195,0.22,75,6.503799451871942,7.281150121704832,0.537779617551406,-0.870730459690094,-0.09739939868450165,0.9333060383796692,-7.374529788701962,-5.046773421388286,1.074183249067443,-0.15571314076633938,0.07598595054995816
6,-4.741824183786298,-6.145409214006164,0.53,6,6.142892779433649,6.915945144377555,0.607065460681906,-1.4222685098648071,-0.0072172824293375015,1.333939552307129,-7.565161196743619,-4.741824183786298,1.4197519827374556,0.2435213874437293,0.0341280718032276
7,-4.763644714308583,-5.756835966861858,0.63,35,5.3525779304178345,5.732460740044678,0.3142245644056813,-1.927768588066101,-0.07991350442171097,1.503997564315796,-7.280346563038408,-4.763644714308583,1.5235105961765498,0.08061326063254459,0.02190787369377084
8,-5.703680772050663,-6.548049953166171,0.21,92,6.733320228445191,7.413019785747967,0.4385008154677423,-0.7929580807685852,-0.0634494423866272,0.8659369945526123,-7.526278163256902,-5.703680772050663,0.9782282100907314,-0.11006411180676415,0.09021071370387189
9,-5.023672511010966,-6.371726655146372,0.32,6,6.598654977628993,7.40665025994447,0.6236760396567587,-0.982280433177948,-0.015302862972021103,1.1113691329956055,-7.580935414979266,-5.023672511010966,1.2092087598328947,0.24996598795416647,0.05718618973535413
