step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_mean,dim_var
0,-5.697698545926537,-6.249114495154858,0.5,15,6.18069668828102,6.64098017884252,0.26934904038580304,-1.9670464992523193,0.0,1.9219768047332764,-8.147743300940489,-5.697698545926537,1.8986288057856304,0.0,0.05
1,-6.637148688685849,-6.693840368024963,0.37,5,6.918316475399616,7.435591127263718,0.2854618141299674,-1.4482845067977905,-0.0005460083484649658,1.726553201675415,-8.366600996423358,-6.637148688685849,1.6727606283983953,0.043279196070959314,0.09145666400828095
2,-6.162817564898392,-6.799797429631777,0.41,2,6.940091805546505,7.762618646588955,0.5664999644398072,-1.5536448955535889,-9.227224654750898e-05,1.7477613687515259,-8.493736655637655,-6.162817564898392,1.6939392260058777,0.24218649700065487,0.07939968980499858
3,-6.545054798875006,-6.774405042535197,0.37,5,6.973399105640991,7.528387636558511,0.34077880179027387,-1.457804560661316,-0.00035459129139781,1.7269920110702515,-8.431203651490785,-6.545054798875006,1.6567986089555877,0.09999704481157129,0.09180126200182637
4,-5.920664799136416,-6.541905723419661,0.37,15,6.798790592932895,7.314154649434997,0.35464691996147146,-1.469354510307312,-0.0006680931546725333,1.7129511833190918,-8.268145075636388,-5.920664799136416,1.7262393522167274,-0.08054632015290172,0.091751193425196
5,-5.016019266537925,-6.267184621905251,0.39,92,6.51917565409436,7.207278878789702,0.49281874210408494,-1.6228456497192383,-2.1338690203265287e-05,1.8255915641784668,-8.142021342946844,-5.016019266537925,1.8748367210415928,-0.15571314076633938,0.07598595054995816
6,-5.43028606033474,-6.449438740245691,0.57,5,6.185254754057121,6.93384030510438,0.5657375187094567,-2.161534309387207,-1.2636264727916569e-05,1.916948676109314,-8.346789246171545,-5.43028606033474,1.897350505925854,0.2435213874437293,0.0341280718032276
7,-4.9459707302439915,-6.042281064545476,0.69,5,5.378249525748322,5.770106178513461,0.29902263008323,-2.552493095397949,-1.1920935776288388e-06,1.9153416156768799,-7.930742262460339,-4.9459707302439915,1.888461197914864,0.08061326063254459,0.02190787369377084
8,-5.674560624822422,-6.485423799308133,0.37,92,6.749947308745075,7.331779836892471,0.40209393682850514,-1.4857439994812012,-0.0006952914409339428,1.7191013097763062,-8.235691383832208,-5.674560624822422,1.750267584524074,-0.11006411180676415,0.09021071370387189
9,-5.887844028289108,-6.625657114214251,0.45,5,6.643155142707076,7.464734598870284,0.5832677224296242,-1.8301409482955933,-6.830925849499181e-05,1.8848224878311157,-8.473296084128272,-5.887844028289108,1.847638969914021,0.24996598795416647,0.05718618973535413
10,-5.033185078275465,-6.335924953929609,0.65,5,5.712618908770384,6.3228083281188106,0.4859829376220112,-2.5215518474578857,-7.951575389597565e-05,1.9321626424789429,-8.234170573419398,-5.033185078275465,1.8982456194897883,0.19759040315665605,0.022209649637304173
11,-4.263039743533307,-5.7964127609448655,0.76,52,4.765086689098801,5.423284617124406,0.5007223789548604,-2.8893613815307617,-0.02652362361550331,1.8194200992584229,-7.654447680703428,-4.263039743533307,1.8580349197585626,-0.17124164894884564,0.01
12,-3.9619943530477935,-5.491229364007189,0.74,36,4.448125332065913,4.896770369938436,0.3283932592771417,-2.8908791542053223,-0.018215935677289963,1.8381152153015137,-7.339004662905875,-3.9619943530477935,1.8477752988986855,-0.07741799870326851,0.01
13,-4.089051783158686,-5.485069557199019,0.76,36,4.404525148247348,4.782304091852858,0.26589519270731377,-2.898195743560791,-0.01662418246269226,1.8189762830734253,-7.302721152634339,-4.089051783158686,1.8176515954353198,-0.047650366402915006,0.01
14,-4.233994974047951,-5.67070603997209,0.76,36,4.6673651834018255,5.100748577038919,0.30367381456155973,-2.8367247581481934,-0.005401989910751581,1.8339440822601318,-7.504090070179636,-4.233994974047951,1.8333840302075466,-0.06280370541833766,0.012958602815433125
15,-4.100144067384218,-5.483230584341911,0.76,36,4.4030668952956775,4.776970079103161,0.2624876328028059,-2.8975305557250977,-0.016463959589600563,1.8190397024154663,-7.30059765004441,-4.100144067384218,1.8173670657024994,-0.045918103128979176,0.01
16,-4.4069466874666645,-5.627429628354767,0.78,99,4.497334305255417,4.843408844184516,0.2275508958159461,-2.9090781211853027,-0.01865210197865963,1.7963745594024658,-7.40641229642809,-4.4069466874666645,1.7789826680733234,0.04395307716060126,0.01
17,-3.7870452397547316,-6.030583887681633,0.5,92,6.086950738745718,6.9961155246497135,0.6866420877430066,-1.928614854812622,0.0,1.8629461526870728,-8.015565483243181,-3.7870452397547316,1.9849815955615484,-0.25,0.05017508859861356
18,-4.208545369958578,-5.490360071652516,0.77,36,4.3954577835512545,4.736310286971022,0.23431022481822342,-2.900752067565918,-0.015235865488648415,1.8103071451187134,-7.296209791968876,-4.208545369958578,1.8058497203163608,-0.030308155782448942,0.01
19,-4.208765046752512,-5.490359753070424,0.77,36,4.395452899674666,4.736245068308829,0.23426119492804856,-2.9007492065429688,-0.015233626589179039,1.8103063106536865,-7.296202582617071,-4.208765046752512,1.8058428295466473,-0.030277943932418505,0.01
20,-3.536121742488831,-6.014545521613254,0.57,92,5.785648695595184,6.668868428372249,0.6872219617609947,-2.2668724060058594,0.0,1.9297749996185303,-8.052521091868723,-3.536121742488831,2.037975570255469,-0.25,0.034297414614990446
21,-4.890774711261353,-6.100736889018642,0.6,92,5.707970822634431,6.1962480985603,0.3432401441903867,-2.3223230838775635,0.0,1.9224414825439453,-8.030294061076617,-4.890774711261353,1.9295571720579747,-0.07157449212288719,0.034847723855321575
22,-4.8963502720039145,-6.263689491029087,0.29,92,6.729056661848529,7.664629788659037,0.6443342687794573,-1.2832101583480835,-0.0037378703709691763,1.6180864572525024,-8.012266821069728,-4.8963502720039145,1.748577330040641,-0.25,0.1
23,-4.039350836910608,-5.479555008047409,0.75,36,4.413929418612594,4.812087394858739,0.28392318377700143,-2.8944826126098633,-0.0169924795627594,1.8265985250473022,-7.308412217244829,-4.039350836910608,1.8288572091974193,-0.05652879714447048,0.01
24,-4.04007668793097,-5.479339253900667,0.75,36,4.4137447607601565,4.811551850836276,0.28361225302807563,-2.8944289684295654,-0.01698835752904415,1.8266187906265259,-7.308174135674773,-4.04007668793097,1.8288348817741054,-0.056379102846033924,0.01
