step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_amount,dim_salt_vs_pepper
0,-0.847665551049045,-1.493608681111244,0.659,467,1.0610722553083378,1.1521824709849326,0.05299351967234122,-2.0076122283935547,-0.0011853445321321487,1.5734935998916626,-3.0686846010010393,-0.847665551049045,1.5750759198897955,0.05,0.5
1,-1.3127466466486208,-3.0317997897298663,0.355,467,3.208084475314836,4.062963537589127,0.43758505362327643,-1.0639687776565552,-0.00115544768050313,1.191487193107605,-4.2720531281017555,-1.3127466466486208,1.2402533383718892,0.15077401411406047,0.8969725636457258
2,-2.248320549926903,-4.437961885349989,0.162,976,4.672774787667029,5.528510954183378,0.47284006157130803,-0.665833592414856,-0.00010127342102350667,0.7947245240211487,-5.338608433823628,-2.248320549926903,0.9006465484736387,0.24624951856031432,0.7656855112099844
3,-1.4933806267796874,-3.4552227614829096,0.305,467,3.6800289184008763,4.664759118462858,0.5033370892331018,-0.9274933934211731,-0.003424780210480094,1.0806361436843872,-4.607522289940159,-1.4933806267796874,1.1522995284572495,0.17799858150955422,0.900724852908776
4,-0.8762301675360449,-2.1034281846614213,0.508,398,2.049359267849925,2.600285418359599,0.28293770171740423,-1.498183012008667,-0.003907436970621347,1.4311466217041016,-3.5475423007495546,-0.8762301675360449,1.4441141160881334,0.09133776632660716,0.900179661741023
5,-0.7780844376819028,-1.589386088302546,0.617,467,1.2370478484057716,1.4417985483956086,0.1223148583065935,-1.9196844100952148,-0.011252774856984615,1.5658334493637085,-3.1567323265676284,-0.7780844376819028,1.5673462382650825,0.0552576924321571,0.7285136837662111
6,-3.165145088151449,-4.077956399107468,0.187,182,4.2319220419705195,4.65977162867096,0.29315513614326794,-0.7189696431159973,-0.0005388519493862987,0.8599534034729004,-4.950891742070071,-3.165145088151449,0.8729353429626026,0.24689026597299008,0.2727278929684782
7,-1.7175872373042258,-2.7824406997838373,0.355,75,2.9494054156140357,3.6295751758353485,0.3466530599441193,-1.0711159706115723,-0.0031780381686985493,1.216809630393982,-4.020521401814085,-1.7175872373042258,1.2380807020302476,0.1686943651036214,0.1396635135543936
8,-0.8986591137813268,-1.8831482082389108,0.537,467,1.7537097213433923,2.207751401107211,0.2361630015667217,-1.6325105428695679,-0.004146338440477848,1.4962273836135864,-3.386220194598926,-0.8986591137813268,1.5030719863600153,0.07716922633275321,0.8834055492199383
9,-3.584266845646531,-4.410182040398859,0.167,398,4.5540377662610885,4.921105530312685,0.20578175805024498,-0.6868366599082947,-0.0026947774458676577,0.8167023658752441,-5.240874486015938,-3.584266845646531,0.8306924456170794,0.2499836742179999,0.5238051771183004
10,-2.126445958628734,-3.543634225314083,0.245,182,3.764243026185001,4.6241281065785,0.4316743183442262,-0.8298903703689575,-0.0032163073774427176,1.0084953308105469,-4.5941334195329455,-2.126445958628734,1.0504991942188628,0.22484339351519492,0.14294951827286764
11,-0.16162625903468542,-1.5430288210528857,0.864,182,0.19040633143431676,0.27114978692000297,0.033090351891359136,-2.809070110321045,-0.0037811866495758295,1.4579153060913086,-2.999476417347958,-0.16162625903468542,1.4564475962950723,0.01,0.01
12,-0.24770358182637248,-1.4365072219759034,0.848,503,0.25093691150210934,0.3385766797312321,0.04074441592632137,-2.669384479522705,-0.0020348853431642056,1.4885268211364746,-2.9203215405575014,-0.24770358182637248,1.483814318581598,0.01,0.99
13,-0.19265405910023448,-1.3198837743691525,0.824,363,0.22450087703132005,0.24655534802914722,0.013472458800411199,-2.6139302253723145,-0.0006130428519099951,1.5184575319290161,-2.838431190900932,-0.19265405910023448,1.5185474165317794,0.01,0.5634016207373774
