step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_mean,dim_var
0,-1.4482754728843743,-5.565393262766327,0.517,528,5.5816124912298655,6.963937316210118,0.8298787437076959,-1.887792944908142,-1.657022767176386e-05,1.8093478679656982,-7.469405441813933,-1.4482754728843743,1.9040121790476061,0.0,0.2
1,-2.2761124892250035,-6.446591043036601,0.261,528,6.983072652474673,8.227741018498074,0.9161117459717688,-1.0306247472763062,-7.271793037944008e-06,1.3957022428512573,-8.013697374294537,-2.2761124892250035,1.5671063312579363,0.08655839214191863,0.9098203423096322
2,-2.0139584891576376,-6.2816620244347465,0.376,528,6.614347577978507,7.844204374602176,0.8290664762816019,-1.3775627613067627,-1.430521751899505e-05,1.6104995012283325,-7.991910409447931,-2.0139584891576376,1.7102483850131847,0.48437299400130973,0.7825522812749849
3,-2.1199858127037707,-6.439551783978406,0.296,528,6.9251765310271916,8.160514993567773,0.8874770515255489,-1.1015182733535767,-1.633180545468349e-05,1.4442689418792725,-8.026694892295957,-2.1199858127037707,1.5871431083175505,0.19999408962314258,0.9134577655748339
4,-2.481319620187685,-6.485648425920122,0.202,528,7.098779914070369,8.493438486862786,0.9829964406638365,-0.852893590927124,-5.960466182841628e-07,1.2175368070602417,-7.951673546901358,-2.481319620187685,1.4660251209812372,-0.16109264030580345,0.9129292639326244
5,-2.505505589974225,-6.386795815121778,0.199,641,7.010274032603973,8.66955536481385,1.0199232820653237,-0.8222320675849915,-5.960466182841628e-07,1.1580865383148193,-7.832506096601908,-2.505505589974225,1.44571028148013,-0.31142628153267876,0.7465183669162251
6,-1.689014153490635,-5.955929612013167,0.593,528,5.6991602072906975,7.015473435811821,0.7996201249806738,-2.1985244750976562,-0.00011695115244947374,1.8580390214920044,-7.897684745558072,-1.689014153490635,1.9417551335449053,0.4870427748874586,0.3046852023674023
7,-1.4079809991470975,-5.6159011542041135,0.606,528,5.301892720727485,6.6491769558330445,0.7688524369230275,-2.2445971965789795,-3.290230597485788e-05,1.860016107559204,-7.546489777995669,-1.4079809991470975,1.930588623791555,0.16122652126508918,0.17569422232313664
8,-2.514791085156833,-6.486871896072541,0.19,641,7.1076098815014515,8.592861921922418,0.9983151923299626,-0.8200085163116455,-1.1920930376163597e-07,1.1769598722457886,-7.927618451095496,-2.514791085156833,1.4407465550229543,-0.2201282236135283,0.896668644651981
9,-1.878321777733648,-6.109761045906787,0.467,528,6.259089149656933,7.517513507193442,0.8167579142131912,-1.659172773361206,-1.0967314665322192e-05,1.7260268926620483,-7.91826188189965,-1.878321777733648,1.808500835992864,0.49993197590833294,0.5480764472065157
10,-1.5172161221823324,-5.812237936272273,0.676,528,5.235312796231357,6.555017961689986,0.7704882586261244,-2.51662015914917,-7.844279025448486e-05,1.8544583320617676,-7.751932860602208,-1.5172161221823324,1.9396949243299353,0.3951808063133121,0.17887963506043292
11,-1.1279728214028644,-5.182335566821229,0.716,528,4.4256356676701705,5.940682136454943,0.7168721549418156,-2.6627631187438965,-0.00013018501340411603,1.811347484588623,-7.088398839796634,-1.1279728214028644,1.9060632729754043,-0.14676915070808338,0.05
12,-1.6731843015064363,-5.371932314683898,0.495,641,5.532418824999705,7.773824177096026,0.887501449208834,-1.7627354860305786,-1.5199299923551735e-05,1.7715471982955933,-7.295154295867158,-1.6731843015064363,1.9232219811832603,-0.5,0.05
13,-1.2106941424706796,-5.185170871842155,0.676,528,4.633004174912794,6.427645359398735,0.753622942755021,-2.4912314414978027,-0.00014413442113436759,1.833691120147705,-7.124235467176952,-1.2106941424706796,1.9390645953347967,-0.22413982307102243,0.05
14,-1.1429170285170638,-5.176796887984591,0.707,528,4.464682714316093,6.046308778426774,0.7243974876993343,-2.6269376277923584,-0.00012684673129115254,1.8185631036758423,-7.0916204146811515,-1.1429170285170638,1.9148235266965605,-0.16246362307275314,0.05
