step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_mean,dim_var
0,-1.5259036276329903,-5.312613331004029,0.296,165,5.59328755809095,6.963937316210118,0.8502001301923324,-0.9220506548881531,-0.014416038058698177,1.0156627893447876,-6.515338207323181,-1.5259036276329903,1.2027248763191516,0.0,0.2
1,-2.0010802548668885,-6.578050713620031,0.066,165,6.993540907158038,8.323519111172484,0.9445220799234886,-0.5332676768302917,-0.0055116633884608746,0.48008328676223755,-7.526808629811729,-2.0010802548668885,0.948757916191698,0.08655839214191863,0.9098203423096322
2,-2.0129732792512036,-6.259768015862036,0.133,165,6.61676754250457,7.869405652696144,0.8577089284633035,-0.6286647915840149,-0.002270771423354745,0.7060430645942688,-7.245432323385827,-2.0129732792512036,0.9856643075237899,0.48437299400130973,0.7825522812749849
3,-2.01946848422378,-6.538326320430209,0.077,165,6.93359753167483,8.224270670367456,0.9161619841116726,-0.5416774749755859,-0.004555093590170145,0.5172836184501648,-7.475275038543092,-2.01946848422378,0.9369487181128834,0.19999408962314258,0.9134577655748339
4,-2.000484300475984,-6.6562609969198085,0.043,165,7.113060153219688,8.50008063986773,1.0109979332025072,-0.5322834849357605,-0.011030972003936768,0.39901527762413025,-7.645343689065267,-2.000484300475984,0.989082692145458,-0.16109264030580345,0.9129292639326244
5,-1.955504478731099,-6.549227095330861,0.047,165,7.026752888415138,8.639915068139823,1.0468091201207106,-0.5422365665435791,-0.011082801967859268,0.3814622461795807,-7.568989452671388,-1.955504478731099,1.0197623573405272,-0.31142628153267876,0.7465183669162251
6,-1.7532550715647546,-5.492101198708044,0.396,165,5.6986648266257784,7.040140655941609,0.8238274023783445,-1.1383440494537354,-0.008376175537705421,1.20327889919281,-6.837008876722126,-1.7532550715647546,1.3449076780140818,0.4870427748874586,0.3046852023674023
7,-1.5834553535569207,-5.171642901577179,0.429,165,5.30904563307234,6.653259380224295,0.788696557741998,-1.213254451751709,-0.010239152237772942,1.2273603677749634,-6.522299970937269,-1.5834553535569207,1.3506570693600897,0.16122652126508918,0.17569422232313664
8,-1.9945311878732566,-6.65547847569159,0.043,165,7.122690365321269,8.548742085727573,1.0261445801106654,-0.5353610515594482,-0.012762338854372501,0.3847121596336365,-7.658051425462855,-1.9945311878732566,1.002572949771265,-0.2201282236135283,0.896668644651981
9,-1.871079044902253,-5.9105643573358275,0.212,165,6.260208620371526,7.5570546640989695,0.8435372949895955,-0.7722455263137817,-0.0032368777319788933,0.9146708846092224,-7.032454176039199,-1.871079044902253,1.121889818703371,0.49993197590833294,0.5480764472065157
