step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-1.0453361631406475,-2.3356643708722054,0.639,690,2.0888748876893795,3.447078867623054,0.4298327009373493,-1.8891643285751343,-0.0014357139589264989,1.5306692123413086,-3.9780392075241675,-1.0453361631406475,1.6423748366519624,0.1
1,-1.6669654985626985,-3.0366047601036406,0.005,976,2.8929800276794775,4.7170636392940155,0.6104654731160416,-0.7647809982299805,-0.04686858877539635,0.18826989829540253,-3.6577610315607236,-1.6669654985626985,0.6211562714570832,0.5906928082204994
2,-1.9334907425383063,-3.5762227013013144,0.004,862,3.015661028926776,4.841200577545451,0.6429785008171962,-1.200137972831726,-0.17172285914421082,0.2238503396511078,-4.215799002131031,-1.9334907425383063,0.6395763008297167,0.9060233040910903
3,-2.0860340479052857,-3.61742182051897,0.004,862,3.0301872547058473,4.84590153969453,0.6488991136087882,-1.2289167642593384,-0.28016358613967896,0.21390409767627716,-4.259103989192665,-2.0860340479052857,0.6416821686736954,0.9845292640612966
4,-1.8311380288708219,-3.318872558167232,0.004,560,2.9763533611561543,4.858806015662943,0.6299313577278609,-0.9763359427452087,-0.0964278057217598,0.184137761592865,-3.952689344603885,-1.8311380288708219,0.6338167864366532,0.7733965878549843
5,-1.6905645604163044,-3.228814856926342,0.005,976,2.9482511128310924,4.82485136985827,0.6219215310815314,-0.9067655205726624,-0.08023069053888321,0.1777046024799347,-3.8550165817712316,-1.6905645604163044,0.6262017248448892,0.7029941487269111
6,-1.9366525195178987,-3.578370219680152,0.004,862,3.016489217929415,4.841180010970685,0.6433114352444026,-1.2013051509857178,-0.1764909029006958,0.2228807508945465,-4.217794271208218,-1.9366525195178987,0.6394240515280664,0.9098138820200901
7,-1.309220969258685,-2.650807181371357,0.021,976,2.692241309084886,4.62403025193819,0.5744118545182838,-0.5746816396713257,-0.006361410021781921,0.2358727753162384,-3.266922931360037,-1.309220969258685,0.6161157499886802,0.3455182860972546
8,-1.9360924238275374,-3.578041514147675,0.004,862,3.016368782878861,4.841185198873388,0.6432627219282523,-1.2011213302612305,-0.17574480175971985,0.2230282723903656,-4.217490017623648,-1.9360924238275374,0.6394485034759733,0.909263127677156
9,-0.9636914713335623,-2.2636943809455627,0.178,669,2.44547888202993,4.284102004048051,0.5364594629297756,-0.7244192957878113,-0.0034348880872130394,0.7194105386734009,-3.1698982040489074,-0.9636914713335623,0.9062038231033447,0.19668798128264803
10,-1.7922114776999982,-3.257966563154992,0.004,560,2.961836595148191,4.847640068109297,0.6255506467259809,-0.925359308719635,-0.08940479904413223,0.17793041467666626,-3.88719596628134,-1.7922114776999982,0.6292294031263479,0.7358454560495398
11,-0.9965025561470185,-2.132739495429593,0.243,669,2.389250083035071,4.156876849036796,0.5242295514953623,-0.8528587222099304,-0.00272035738453269,0.9386062026023865,-3.2421087611247583,-0.9965025561470185,1.1093692656951655,0.17357312438626077
12,-0.9731181128585452,-2.070697005788456,0.315,690,2.3318412092777154,4.024645327284373,0.5093891248883441,-1.0226712226867676,-0.0030787845607846975,1.1196274757385254,-3.354512439887011,-0.9731181128585452,1.283815434098555,0.15401870007785615
13,-0.9477106301279562,-2.0664704166749823,0.352,690,2.3059675244891924,3.938090022383623,0.5019649900138095,-1.1089924573898315,-0.003354805987328291,1.1911823749542236,-3.4149599840462126,-0.9477106301279562,1.3484895673712305,0.14629148867765968
14,-1.4184032095167267,-2.776781800713116,0.008,976,2.8021418948812826,4.679872711362317,0.5953394853468457,-0.5915605425834656,-0.0206333938986063,0.18339064717292786,-3.393702410551388,-1.4184032095167267,0.6169206098382722,0.45263021332115316
15,-1.0444063540599333,-2.9617109108388124,0.996,287,0.4326783998731153,1.0123550258055443,0.11714661485850805,-3.5650932788848877,-0.6931471824645996,1.0270206928253174,-3.9977718358758465,-1.0444063540599333,1.0360609250370338,0.01
16,-0.9511282574637036,-2.0671109102211394,0.347,690,2.310125461864422,3.953599744769199,0.503185009567199,-1.0957849025726318,-0.003281667362898588,1.1800419092178345,-3.4059104032704117,-0.9511282574637036,1.3387994930492724,0.14750166148283156
17,-0.9406159556933911,-2.0717676373433767,0.38,690,2.2897707353890184,3.86561720286363,0.4970092918063409,-1.1700595617294312,-0.003501817351207137,1.2345503568649292,-3.4598303663988372,-0.9406159556933911,1.3880627290554608,0.1417030330352882
18,-0.9571069784732217,-2.063485152470094,0.336,690,2.315481854456105,3.9719968943186705,0.5047472254258707,-1.075076699256897,-0.003200760344043374,1.1658793687820435,-3.390558490493196,-0.9571069784732217,1.327073338023102,0.14908157371438188
19,-0.9573781546201809,-2.06368892304761,0.336,690,2.315695872295783,3.9727015186548265,0.5048086973709514,-1.0745054483413696,-0.0031977705657482147,1.1652462482452393,-3.3902014088347974,-0.9573781546201809,1.3265124857871877,0.14914486499727267
20,-0.9575211841549395,-2.063765868205182,0.336,690,2.3157775283408184,3.9729703536393464,0.5048321789673164,-1.074285864830017,-0.003196694189682603,1.165002703666687,-3.390063352719072,-0.9575211841549395,1.3262974845138902,0.1491690219510776
21,-1.1679762131546023,-2.536029224217995,0.057,669,2.587334314684415,4.493675429441081,0.558619099765376,-0.577920138835907,-0.009457224979996681,0.3085983991622925,-3.165254508403162,-1.1679762131546023,0.629225284185167,0.2734847867859146
22,-0.9582064227386543,-2.064443017298518,0.337,690,2.315985352805327,3.973656114505261,0.5048920979734262,-1.0739727020263672,-0.0031940035987645388,1.1643017530441284,-3.3899579334656953,-0.9582064227386543,1.3255149161671775,0.1492305434574285
23,-0.9579590607650614,-2.064373874628356,0.337,690,2.315912527628414,3.9734154561481296,0.5048711204107121,-1.0741685628890991,-0.0031949602998793125,1.1645185947418213,-3.3900811221610603,-0.9579590607650614,1.3257072475327039,0.14920898266654606
24,-0.957729837283558,-2.063821574225841,0.336,690,2.3158367951302936,3.973165726467755,0.5048492778931603,-1.0741249322891235,-0.0031959170009940863,1.1648248434066772,-3.3899616453338095,-0.957729837283558,1.3261400711079685,0.14918656377859668
