step,raw_eot,adjusted_eot,accuracy,max_score_index,mean_distance,max_distance,sd_distance,mean_penalty,max_penalty,sd_penalty,mean_score,max_score,sd_score,dim_sigma
0,-1.5737957481359977,-2.933055401000438,0.76,23,2.0399694620531834,2.8627761585804534,0.3891961427071415,-2.7713706493377686,-0.003636287758126855,1.7769778966903687,-4.811339864588141,-1.5737957481359977,1.8782844635877027,0.1
1,-1.9819004534897415,-2.4859000258716053,0.12,38,2.829591770622822,4.310452999132138,0.5870699761716419,-0.6059712767601013,-0.0012263423996046185,0.8294619917869568,-3.435563037842688,-1.9819004534897415,0.9496630119710823,0.5906928082204994
2,-1.9181788652678127,-2.573206152524572,0.05,38,2.956744116854571,4.413984712551397,0.627789516511651,-0.5593652129173279,-0.002486396813765168,0.7158101797103882,-3.516109337569397,-1.9181788652678127,0.9429031850448251,0.9060233040910903
3,-1.922993281437933,-2.5974048281872006,0.05,38,2.9752435901651495,4.4248393420212535,0.6374240498116255,-0.5563240051269531,-0.01202561054378748,0.7071284651756287,-3.531567653760534,-1.922993281437933,0.9341628255733334,0.9845292640612966
4,-1.9170369594832057,-2.6020291299329616,0.09,38,2.911259788184578,4.360496984875702,0.606921201185184,-0.5767925977706909,-0.00021710367582272738,0.706723153591156,-3.488052402563515,-1.9170369594832057,0.8860232726305534,0.7733965878549843
5,-1.9169764309664363,-2.5533038897334084,0.1,38,2.8817409747892055,4.336644024422369,0.5969076988939273,-0.5981542468070984,-9.65641884249635e-05,0.7757514119148254,-3.4798951908441045,-1.9169764309664363,0.9265913011106963,0.7029941487269111
6,-1.918297120883047,-2.5723733572993455,0.05,38,2.957694146689177,4.415068116663273,0.6282933922289635,-0.5596545934677124,-0.0027212537825107574,0.7175577282905579,-3.517348712915704,-1.918297120883047,0.9449753556163584,0.9098138820200901
7,-1.542152974987122,-2.2261777482739777,0.27,38,2.6322572431929774,4.161583802703121,0.5362246332382887,-0.9837615489959717,-0.029957028105854988,1.2701590061187744,-3.616018831174112,-1.542152974987122,1.3898410829001342,0.3455182860972546
8,-1.9182870178957576,-2.5725475606730166,0.05,38,2.9575544720251883,4.414927293684364,0.6282210668611968,-0.5596420764923096,-0.0027012319769710302,0.7172659039497375,-3.5171965277187365,-1.9182870178957576,0.9446489670457201,0.909263127677156
9,-1.7591182957283695,-2.1101649709679116,0.45,96,2.387946939393549,3.8724592759225547,0.5043771940760761,-1.577053189277649,-0.006163059268146753,1.7186577320098877,-3.965000172783291,-1.7591182957283695,1.8548352018153798,0.19668798128264803
10,-1.9169682055254573,-2.581777594672273,0.1,38,2.8956003340951355,4.346549157596984,0.6013591023065112,-0.5864001512527466,-8.023106784094125e-05,0.7348769903182983,-3.4820005017806324,-1.9169682055254573,0.9002229071083594,0.7358454560495398
11,-1.7846258884227693,-2.086547574657147,0.42,38,2.414270673029697,3.911489212973004,0.509252055329599,-1.4864192008972168,-0.0088161276653409,1.6856987476348877,-3.9006899106955286,-1.7846258884227693,1.8141423360383813,0.20895564870021727
12,-1.8196846285454351,-2.088238614903102,0.36,38,2.516986204353273,4.050767004074128,0.5192797215449922,-1.2491637468338013,-0.01680310070514679,1.560365080833435,-3.7661498956616217,-1.8196846285454351,1.67791128075852,0.26742347549111084
13,-1.7290839362812003,-2.3307443772528966,0.13,38,2.748060210019867,4.255099412118213,0.5715123095933888,-0.6773166060447693,-0.023886585608124733,0.9551454782485962,-3.42537685992993,-1.7290839362812003,1.094632482677033,0.45483208804710323
14,-1.7780561590493476,-2.0607694584810634,0.38,38,2.472933079055787,4.007355552211534,0.5165017218408675,-1.2957181930541992,-0.015637313947081566,1.598848819732666,-3.7686513113000397,-1.7780561590493476,1.7078818528189763,0.23968487888518772
15,-1.7160359171692938,-2.0517733500859046,0.37,38,2.4604471069765723,3.988639743403246,0.5156254319427398,-1.3138563632965088,-0.014647000469267368,1.6125046014785767,-3.774303531637926,-1.7160359171692938,1.7225301815520213,0.23267650919719177
16,-1.7170847177288358,-2.049600923444887,0.37,38,2.4589839978725423,3.986400929994441,0.5154684035129066,-1.315048098564148,-0.01454448513686657,1.6137301921844482,-3.774032005465101,-1.7170847177288358,1.7244310820202138,0.23188087984622063
17,-1.715469369347461,-2.0526098554380736,0.37,38,2.4609945300029743,3.989481525568187,0.5156774040877129,-1.3134161233901978,-0.014656133949756622,1.6120586395263672,-3.77441074563136,-1.715469369347461,1.7218008901932864,0.23297323474849632
18,-1.8073286542672207,-2.0614687118359427,0.38,38,2.475347064139615,4.010600490100035,0.516645853970056,-1.2909271717071533,-0.015894174575805664,1.5965967178344727,-3.7662742774955142,-1.8073286542672207,1.7048055656595715,0.2410989656690864
19,-1.7329835211970526,-2.1325373444846707,0.31,38,2.56803881270306,4.104542183593692,0.5249818617826351,-1.1391873359680176,-0.012293674051761627,1.4546865224838257,-3.7072261604243675,-1.7329835211970526,1.5746888159396968,0.3013597485538447
20,-1.7392983925403653,-2.0420426603990167,0.37,38,2.447294323166224,3.9667864157402186,0.5139495751136847,-1.3414361476898193,-0.013431948609650135,1.6300594806671143,-3.7887304455892616,-1.7392983925403653,1.7466877851902451,0.2255303588311341
21,-1.725789016758484,-2.026295589399184,0.35,38,2.452127007988238,3.9751973667662566,0.5146546545704352,-1.313918113708496,-0.013917042873799801,1.6277984380722046,-3.7660449514975336,-1.725789016758484,1.7397493620983495,0.22816151264106566
22,-1.7289635959714367,-2.025207963936727,0.35,38,2.4506320801251196,3.9725985969705557,0.5144415712733112,-1.317663550376892,-0.013796230778098106,1.6303476095199585,-3.7682956682019495,-1.7289635959714367,1.7430877042652229,0.22734599659344878
23,-1.733032792563526,-2.0315956689081327,0.36,38,2.4490750993574655,3.969886132503342,0.5142126432441531,-1.3273391723632812,-0.01361627783626318,1.6311283111572266,-3.776414146988714,-1.733032792563526,1.7448184780805815,0.22650022546835633
24,-1.7375746310633131,-2.0310588429950958,0.36,38,2.4477367140027098,3.967552521316044,0.514013302386881,-1.330237627029419,-0.013466865755617619,1.6326630115509033,-3.777974306955036,-1.7375746310633131,1.7469154639599405,0.22577016829101604
